,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Goetzeoideae,2,38.69718,80.99923,23.5946,51.22144,8.57384,43.94602,33.63993,69.136,Solanales,Solanaceae,Goetzeoideae
Gomphogyneae,1,NA,63.23596,NA,55.83377,NA,NA,25.34388,88.55865,Cucurbitales,Cucurbitaceae,Gomphogyneae
Gratioleae,1,NA,163.95301,NA,71.7292,NA,NA,51.72733,89.36691,Lamiales,Plantaginaceae,Gratioleae
Grevilleoideae,1,NA,89.14223,NA,51.20313,NA,NA,26.45043,76.89951,Proteales,Proteaceae,Grevilleoideae
Grewioideae,2,57.37628,76.83752,29.93177,45.41296,12.87272,47.67671,24.82342,67.71925,Malvales,Malvaceae,Grewioideae
Greyiaceae,1,NA,184.0314,NA,114.49533,NA,NA,66.70403,152.96507,Geraniales,Francoaceae,Greyiaceae
Gymnarrhenoideae,1,NA,56.44151,NA,23.52086,NA,NA,16.45235,32.50948,Asterales,Asteraceae,Gymnarrhenoideae
Gymnostachydoideae,1,NA,172.17971,NA,108.06997,NA,NA,56.55119,145.86097,Alismatales,Araceae,Gymnostachydoideae
Hamamelidoideae,1,NA,173.14238,NA,94.85902,NA,NA,83.60045,110.61055,Saxifragales,Hamamelidaceae,Hamamelidoideae
Harrimanelloideae,1,NA,106.0399,NA,53.93117,NA,NA,39.66992,71.86121,Ericales,Ericaceae,Harrimanelloideae
Hecastocleidoideae,1,NA,72.0493,NA,34.48523,NA,NA,24.82554,45.54519,Asterales,Asteraceae,Hecastocleidoideae
Hechtioideae,2,23.45398,34.28011,11.81464,19.93888,4.40177,19.91203,13.29848,26.17327,Poales,Bromeliaceae,Hechtioideae
Helicteroideae,2,46.03945,53.6876,23.88663,32.29476,11.82772,35.37763,21.9276,42.24197,Malvales,Malvaceae,Helicteroideae
Helieae,1,NA,85.59174,NA,33.3656,NA,NA,17.56547,50.56897,Gentianales,Gentianaceae,Helieae
Hemerocallidoideae,1,NA,118.07306,NA,62.03324,NA,NA,42.10299,83.49661,Asparagales,Asphodelaceae,Hemerocallidoideae
Hemimerideae,1,NA,165.68934,NA,73.31448,NA,NA,52.14842,92.4669,Lamiales,Scrophulariaceae,Hemimerideae
Heptacodium,1,NA,107.66012,NA,49.84507,NA,NA,40.35563,60.95735,Dipsacales,Caprifoliaceae,Heptacodium
Hermae,1,NA,83.29577,NA,28.73357,NA,NA,12.47296,44.50187,Apiales,Apiaceae,Hermae
Hibbertioideae,1,NA,59.96463,NA,53.82074,NA,NA,29.09841,83.32928,Dilleniales,Dilleniaceae,Hibbertioideae
Humbertioideae,1,NA,135.88833,NA,77.07979,NA,NA,58.79467,95.64079,Solanales,Convolvulaceae,Humbertioideae
Hydnoroideae,1,NA,194.77732,NA,99.06028,NA,NA,49.3311,136.74771,Piperales,Aristolochiaceae,Hydnoroideae
Hydrastidoideae,1,NA,139.7101,NA,96.08123,NA,NA,72.02817,119.99151,Ranunculales,Ranunculaceae,Hydrastidoideae
Hydrocharitoideae,1,NA,91.30422,NA,56.67973,NA,NA,24.1021,89.15949,Alismatales,Hydrocharitaceae,Hydrocharitoideae
Hydrocotyloideae,1,NA,109.63072,NA,45.28445,NA,NA,25.59303,66.13881,Apiales,Araliaceae,Hydrocotyloideae
Hypericeae,1,NA,101.8843,NA,50.68418,NA,NA,29.70102,75.57962,Malpighiales,Hypericaceae,Hypericeae
Hypodaphnideae,1,NA,140.23569,NA,60.87571,NA,NA,34.57836,90.49692,Laurales,Lauraceae,Hypodaphnideae
Hypseocharis,1,NA,128.57681,NA,87.77719,NA,NA,49.08852,129.24459,Geraniales,Geraniaceae,Hypseocharis
Idiospermoideae,1,NA,108.72144,NA,110.3612,NA,NA,90.28879,131.85848,Laurales,Calycanthaceae,Idiospermoideae
Iridoideae,2,89.06148,113.79762,52.9608,76.34332,31.06862,74.14753,60.38325,94.08824,Asparagales,Iridaceae,Iridoideae
Isophysidoideae,1,NA,126.66741,NA,87.30949,NA,NA,68.73081,106.7964,Asparagales,Iridaceae,Isophysidoideae
Ixoroideae,2,108.68336,144.13688,44.02956,70.09723,16.17296,64.80184,50.7655,88.75531,Gentianales,Rubiaceae,Ixoroideae
Kalanchooideae,1,NA,69.1672,NA,47.19448,NA,NA,22.1052,73.40075,Saxifragales,Crassulaceae,Kalanchooideae
Klotzschieae,1,NA,83.29577,NA,28.73357,NA,NA,12.47296,44.50187,Apiales,Apiaceae,Klotzschieae
LAC,2,149.69227,154.58282,75.76743,82.63481,55.99595,94.51605,62.22264,98.60558,Gentianales,Rubiaceae,LAC
Lactoris,1,NA,209.36645,NA,135.40654,NA,NA,101.8436,173.52518,Piperales,Aristolochiaceae,Lactoris
Lamioideae,2,63.94862,74.0779,17.25374,24.95562,8.74224,27.5588,13.44552,35.86834,Lamiales,Lamiaceae,Lamioideae
Larreoideae,1,NA,146.8808,NA,80.21368,NA,NA,29.4329,118.96872,Zygophyllales,Zygophyllaceae,Larreoideae
Lasioideae,2,37.66737,99.54317,22.89525,65.12458,4.59935,43.87864,43.78413,87.26753,Alismatales,Araceae,Lasioideae
Laureae,2,31.33391,74.73942,13.3329,29.42818,3.91273,24.83426,13.28268,48.46923,Laurales,Lauraceae,Laureae
Lemnoideae,2,55.86908,123.49952,41.87107,89.7388,23.24102,76.6555,68.76541,112.56859,Alismatales,Araceae,Lemnoideae
Leucophylleae,1,NA,55.22335,NA,19.4147,NA,NA,6.57904,37.07189,Lamiales,Scrophulariaceae,Leucophylleae
Limoselleae,1,NA,121.99162,NA,36.98985,NA,NA,15.45857,62.07823,Lamiales,Scrophulariaceae,Limoselleae
Lindenbergieae,2,71.77056,145.80394,28.18285,59.83231,11.29903,44.96781,50.11084,68.79676,Lamiales,Orobanchaceae,Lindenbergieae
Lindmanioideae,2,21.41855,43.56671,7.59429,26.49717,0.70628,17.96959,17.29378,35.40821,Poales,Bromeliaceae,Lindmanioideae
Linnaeoideae,1,NA,81.97714,NA,38.52911,NA,NA,34.07004,46.37437,Dipsacales,Caprifoliaceae,Linnaeoideae
Lobelioideae,2,119.9447,131.83896,62.54583,78.51939,37.00036,85.00443,60.7991,96.29849,Asterales,Campanulaceae,Lobelioideae
Lomandroideae,2,102.04773,112.89089,46.25956,59.56022,26.62129,62.04836,46.37691,73.81771,Asparagales,Asparagaceae,Lomandroideae
Mackinlayoideae,2,124.68193,129.68272,54.5862,62.94498,32.83915,79.69851,48.39705,82.93224,Apiales,Apiaceae,Mackinlayoideae
Maesoideae,2,106.92393,143.49805,43.69177,93.36057,9.54918,85.8559,69.34737,115.27585,Ericales,Primulaceae,Maesoideae
Malesherbioideae,1,NA,125.81366,NA,76.83346,NA,NA,54.49593,100.56184,Malpighiales,Passifloraceae,Malesherbioideae
Malmeoideae,2,73.6163,99.11812,37.22643,62.50255,14.53221,61.43213,40.20708,84.50398,Magnoliales,Annonaceae,Malmeoideae
Malpighioideae,1,NA,58.67632,NA,31.87181,NA,NA,13.31555,61.40932,Malpighiales,Malpighiaceae,Malpighioideae
Malvatheca,3,42.60497,48.24206,18.25198,25.28632,7.71204,27.09556,17.13603,33.56051,Malvales,Malvaceae,Malvatheca
Mapanioideae,2,53.75162,89.50491,41.97439,75.97232,14.7187,79.11694,50.6366,103.11383,Poales,Cyperaceae,Mapanioideae
Medusagynoideae,1,NA,122.56755,NA,56.30713,NA,NA,33.26393,88.34522,Malpighiales,Ochnaceae,Medusagynoideae
