,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Bixaceae,2,42.14142,59.71311,42.14142,59.71311,19.76383,64.15316,39.71298,78.91743,Malvales,Bixaceae,NA
Blandfordiaceae,2,11.64964,69.43045,11.64964,69.43045,3.17499,24.27248,39.99935,96.13719,Asparagales,Blandfordiaceae,NA
Bonnetiaceae,2,41.86374,85.84184,41.86374,85.84184,20.32095,66.18675,78.57843,94.66519,Malpighiales,Bonnetiaceae,NA
Boraginaceae,2,28.7296,45.80065,28.7296,45.80065,12.549,44.39767,32.17468,61.39361,Boraginales,Boraginaceae,NA
Boryaceae,2,39.91067,82.65985,39.91067,82.65985,13.7835,69.07877,55.07162,109.04603,Asparagales,Boryaceae,NA
Brassicaceae,8,35.21191,45.72423,35.21191,45.72423,24.89059,44.90792,36.03134,56.70142,Brassicales,Brassicaceae,NA
Bromeliaceae,16,28.59075,104.70581,28.59075,104.70581,17.18934,41.73232,87.52787,116.97599,Poales,Bromeliaceae,NA
Brunelliaceae,2,8.70884,70.3382,8.70884,70.3382,0.544,21.28713,46.64894,90.4581,Oxalidales,Brunelliaceae,NA
Bruniaceae,2,58.20781,96.12987,58.20781,96.12987,24.3042,92.05768,79.8557,109.80869,Bruniales,Bruniaceae,NA
Burmanniaceae,2,57.76165,114.67275,57.76165,114.67275,24.45349,91.31201,102.07071,126.61908,Dioscoreales,Burmanniaceae,NA
Burseraceae,2,23.78572,46.41672,23.78572,46.41672,5.80588,41.99098,23.22105,65.39197,Sapindales,Burseraceae,NA
Butomaceae,1,NA,67.77459,NA,67.77459,NA,NA,37.12615,95.89937,Alismatales,Butomaceae,NA
Buxaceae,2,85.82016,141.42354,85.82016,141.42354,48.799,127.51249,138.39228,144.23224,Buxales,Buxaceae,NA
Byblidaceae,2,29.43257,58.74941,29.43257,58.74941,10.1703,50.54191,44.45678,71.15799,Lamiales,Byblidaceae,NA
Cabombaceae,2,60.84199,109.89995,60.84199,109.89995,28.58864,102.77066,100.51315,117.98466,Nymphaeales,Cabombaceae,NA
Cactaceae,2,15.80785,27.22765,15.80785,27.22765,5.27817,26.39432,15.39573,36.27845,Caryophyllales,Cactaceae,NA
Calceolariaceae,2,18.55274,56.47356,18.55274,56.47356,6.34219,32.95744,43.16149,72.68164,Lamiales,Calceolariaceae,NA
Calophyllaceae,2,59.71142,79.80209,59.71142,79.80209,34.13612,79.82887,67.61133,90.33847,Malpighiales,Calophyllaceae,NA
Calycanthaceae,3,103.34004,122.84484,103.34004,122.84484,90.75761,114.65761,112.87362,133.85478,Laurales,Calycanthaceae,NA
Calyceraceae,2,17.47165,73.58715,17.47165,73.58715,5.11964,37.26369,72.09004,76.80848,Asterales,Calyceraceae,NA
Campanulaceae,10,64.583,89.75888,64.583,89.75888,47.47016,83.01731,79.99006,100.81771,Asterales,Campanulaceae,NA
Campynemataceae,2,47.86457,82.19097,47.86457,82.19097,14.82678,80.94412,60.88341,105.28612,Liliales,Campynemataceae,NA
Canellaceae,2,39.31582,128.67232,39.31582,128.67232,8.65681,71.081,125.00135,135.00593,Canellales,Canellaceae,NA
Cannabaceae,2,56.18922,72.91261,56.18922,72.91261,31.30088,78.10033,60.89667,86.744,Rosales,Cannabaceae,NA
Cannaceae,2,8.46818,50.39791,8.46818,50.39791,1.49733,18.7268,31.40231,74.65106,Zingiberales,Cannaceae,NA
Capparaceae,2,38.14261,52.47949,38.14261,52.47949,20.67614,55.50235,41.57913,63.70403,Brassicales,Capparaceae,NA
Caprifoliaceae,8,52.42301,68.62073,52.42301,68.62073,42.03815,63.57434,51.91734,83.19281,Dipsacales,Caprifoliaceae,NA
Cardiopteridaceae,2,50.10333,71.95361,50.10333,71.95361,22.86034,78.38273,45.39349,96.79094,Aquifoliales,Cardiopteridaceae,NA
Caricaceae,2,24.28873,62.81355,24.28873,62.81355,7.83383,42.42894,37.52629,87.81923,Brassicales,Caricaceae,NA
Carlemanniaceae,2,18.7364,45.60585,18.7364,45.60585,3.84033,34.78205,26.01962,69.57129,Lamiales,Carlemanniaceae,NA
Caryocaraceae,2,25.1768,88.11896,25.1768,88.11896,9.19857,47.71305,71.74444,102.50357,Malpighiales,Caryocaraceae,NA
Caryophyllaceae,12,71.44479,83.41543,71.44479,83.41543,57.06589,85.94902,70.50113,95.84334,Caryophyllales,Caryophyllaceae,NA
Casuarinaceae,2,19.74692,50.5404,19.74692,50.5404,5.8034,37.95017,29.32845,73.5036,Fagales,Casuarinaceae,NA
Celastraceae,4,66.50056,89.42281,66.50056,89.42281,46.00955,87.66621,68.92767,107.6521,Celastrales,Celastraceae,NA
Centroplacaceae,2,64.25984,103.64678,64.25984,103.64678,27.00173,97.82298,96.00226,110.03487,Malpighiales,Centroplacaceae,NA
Cephalotaceae,1,NA,74.28473,NA,74.28473,NA,NA,64.87564,86.83955,Oxalidales,Cephalotaceae,NA
Ceratophyllaceae,2,18.41377,147.97927,18.41377,147.97927,2.41649,35.24802,145.92129,149.95347,Ceratophyllales,Ceratophyllaceae,NA
Cercidiphyllaceae,2,5.36041,73.02362,5.36041,73.02362,0.40969,12.01623,28.18176,103.60417,Saxifragales,Cercidiphyllaceae,NA
Chloranthaceae,2,129.40127,145.62838,129.40127,145.62838,123.00333,138.00476,142.78268,148.56149,Chloranthales,Chloranthaceae,NA
Chrysobalanaceae,2,31.65611,52.62665,31.65611,52.62665,14.94282,48.56091,29.39636,69.37689,Malpighiales,Chrysobalanaceae,NA
Circaeasteraceae,2,51.7657,100.55577,51.7657,100.55577,24.59169,80.66299,73.43056,124.74197,Ranunculales,Circaeasteraceae,NA
