,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Drosophyllaceae,1,NA,86.59591,NA,51.52343,NA,NA,30.01814,72.60103,Caryophyllales,Drosophyllaceae,NA
Ebenaceae,3,73.08437,134.56754,43.34792,102.08328,19.89071,76.70792,89.96342,113.04357,Ericales,Ebenaceae,NA
Ecdeiocoleaceae,1,NA,94.70907,NA,86.49577,NA,NA,79.66516,93.25997,Poales,Ecdeiocoleaceae,NA
Ehretiaceae,2,63.54278,83.61723,23.085,36.10066,8.45002,36.66056,23.37011,49.18759,Boraginales,Ehretiaceae,NA
Elaeagnaceae,2,31.88091,108.90535,23.72096,73.96392,10.87597,40.38741,49.38932,95.53879,Rosales,Elaeagnaceae,NA
Elaeocarpaceae,2,74.10382,95.49635,42.25816,70.48806,11.24547,71.16805,45.72669,89.84707,Oxalidales,Elaeocarpaceae,NA
Elatinaceae,2,75.43748,120.21117,38.6181,78.31657,13.57603,64.1782,52.74803,100.53834,Malpighiales,Elatinaceae,NA
Emblingiaceae,1,NA,116.50117,NA,83.4397,NA,NA,72.89996,96.91025,Brassicales,Emblingiaceae,NA
Ericaceae,17,110.87912,115.01635,77.3869,82.73703,68.04329,88.22516,72.91288,92.61845,Ericales,Ericaceae,NA
Eriocaulaceae,2,58.10679,129.28993,56.72563,108.05923,18.30005,95.8036,99.85518,115.63283,Poales,Eriocaulaceae,NA
Erythropalaceae,2,130.69436,148.98621,95.79216,127.11624,48.38187,129.19559,119.25429,134.3748,Santalales,Erythropalaceae,NA
Erythroxylaceae,2,64.01867,109.67647,34.13777,69.9616,13.42007,60.21629,51.6923,91.35541,Malpighiales,Erythroxylaceae,NA
Escalloniaceae,2,125.68827,136.70946,76.64328,93.96249,53.88198,96.77661,80.67907,105.90216,Escalloniales,Escalloniaceae,NA
Eucommiaceae,1,NA,107.56202,NA,67.93129,NA,NA,39.80255,98.53181,Garryales,Eucommiaceae,NA
Euphorbiaceae,13,98.48632,113.00932,53.63531,65.22155,40.64548,68.48623,50.7228,81.93212,Malpighiales,Euphorbiaceae,NA
Euphroniaceae,1,NA,81.01707,NA,56.1035,NA,NA,38.43457,75.49328,Malpighiales,Euphroniaceae,NA
Eupomatiaceae,2,35.92499,128.41272,20.73441,97.24325,3.82888,44.01662,76.61763,118.64235,Magnoliales,Eupomatiaceae,NA
Eupteleaceae,2,18.05172,143.28371,7.89852,132.51598,1.35431,17.09751,116.33063,145.61306,Ranunculales,Eupteleaceae,NA
Fabaceae,12,93.79179,110.91463,72.58726,86.13313,57.07594,88.9861,69.62319,104.51783,Fabales,Fabaceae,NA
Fagaceae,2,81.86526,110.589,59.80783,91.13061,37.83094,80.68446,79.05931,102.3031,Fagales,Fagaceae,NA
Flagellariaceae,2,45.91992,117.55095,33.33063,96.37254,7.55239,63.55942,89.5847,102.82593,Poales,Flagellariaceae,NA
Fouquieriaceae,2,22.15513,126.06476,8.40869,87.94975,1.19139,18.73741,60.93486,109.67534,Ericales,Fouquieriaceae,NA
Francoaceae,2,117.45488,141.01454,72.34003,109.06237,39.59509,103.23188,86.19329,126.92347,Geraniales,Francoaceae,NA
Frankeniaceae,2,11.01151,67.51075,14.50222,59.9211,3.91255,28.94131,31.67882,86.70821,Caryophyllales,Frankeniaceae,NA
Garryaceae,2,35.19777,107.56202,22.47294,67.93129,5.74987,42.78053,39.80255,98.53181,Garryales,Garryaceae,NA
Geissolomataceae,1,NA,102.82806,NA,50.86542,NA,NA,23.23002,85.38458,Crossosomatales,Geissolomataceae,NA
Gelsemiaceae,2,70.94363,112.39192,41.92634,72.94188,19.75171,67.90572,58.61704,85.88438,Gentianales,Gelsemiaceae,NA
Gentianaceae,7,88.51878,112.24995,58.62193,73.6113,42.15721,71.67743,59.61409,85.02933,Gentianales,Gentianaceae,NA
Geraniaceae,2,83.66539,141.01454,56.739,109.06237,28.3844,85.01202,86.19329,126.92347,Geraniales,Geraniaceae,NA
Gerrardinaceae,1,NA,115.43087,NA,60.03767,NA,NA,30.59211,90.90922,Huerteales,Gerrardinaceae,NA
Gesneriaceae,5,106.24266,115.35737,54.00544,64.87543,40.66536,71.17447,53.5653,77.85844,Lamiales,Gesneriaceae,NA
Ginkgoaceae,1,NA,273.24428,NA,113.4587,NA,NA,69.95969,170.21638,Ginkgoales,Ginkgoaceae,NA
Gisekiaceae,2,1.48607,81.48473,4.53779,51.38612,0.3343,11.06323,40.52242,63.90026,Caryophyllales,Gisekiaceae,NA
Gnetaceae,1,NA,207.16772,NA,139.31741,NA,NA,87.46115,206.28993,Gnetales,Gnetaceae,NA
Gomortegaceae,1,NA,124.27159,NA,72.57306,NA,NA,37.1443,105.95898,Laurales,Gomortegaceae,NA
