,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Poales,67,134.62398,141.79178,122.76545,127.54217,117.69444,127.0388,122.93592,132.72672,Poales,NA,NA
Pricramniales,2,39.96592,147.37968,39.19087,128.01992,11.92332,74.7186,123.50138,132.71934,Pricramniales,NA,NA
Proteales,11,NA,NA,NA,NA,NA,NA,NA,NA,Proteales,NA,NA
Ranunculales,22,143.27529,152.2147,135.536,148.09635,123.16706,145.91167,146.71112,149.5863,Ranunculales,NA,NA
Rosales,27,132.64269,146.91692,116.92514,126.61222,106.2121,124.04978,121.42032,131.7823,Rosales,NA,NA
Santalales,27,148.21359,150.48828,132.4053,140.31473,125.32021,139.27012,137.92824,142.54846,Santalales,NA,NA
Sapindales,22,108.41548,145.54212,106.68492,123.79672,96.77206,116.48151,118.62648,128.63226,Sapindales,NA,NA
Saxifragales,30,144.12287,150.4348,127.88387,140.24297,116.57498,137.48086,138.04188,142.3587,Saxifragales,NA,NA
Solanales,28,133.78855,137.92224,104.13063,112.61205,88.97784,116.64887,100.07748,120.85989,Solanales,NA,NA
Trochodendrales,2,31.02625,151.725,25.19928,145.25057,7.05055,55.95488,143.40401,146.89599,Trochodendrales,NA,NA
Vahliales,2,27.94096,139.88003,20.47669,118.59819,4.00717,47.24018,109.61689,125.55258,Vahliales,NA,NA
Vitales,2,89.45391,150.33752,93.35157,138.98173,61.61699,121.3923,136.63285,141.19427,Vitales,NA,NA
Zingiberales,17,94.77138,128.20764,91.65511,114.21946,78.34222,102.13318,103.94807,123.36897,Zingiberales,NA,NA
Zygophyllales,3,105.94573,149.09886,82.39004,134.44941,51.05876,111.98893,131.19191,137.49631,Zygophyllales,NA,NA
Acanthaceae,8,102.84854,116.07998,60.9015,70.0502,51.54454,70.50292,62.42092,77.4599,Lamiales,Acanthaceae,NA
Achariaceae,2,132.72294,135.12025,62.91173,89.97758,32.34143,93.38089,73.87191,104.81982,Malpighiales,Achariaceae,NA
Achatocarpaceae,2,11.72137,89.66736,9.50456,85.67541,1.28774,24.4934,74.26368,98.57434,Caryophyllales,Achatocarpaceae,NA
Acoraceae,2,14.71913,151.09124,21.57188,145.93498,4.53062,39.90488,143.64677,148.05493,Acorales,Acoraceae,NA
Actinidiaceae,2,84.27469,118.67836,87.09416,95.93103,83.60017,93.26652,89.13446,103.39535,Ericales,Actinidiaceae,NA
Adoxaceae,2,102.97206,122.13054,64.60188,83.84281,34.8173,90.18048,66.81901,102.62619,Dipsacales,Adoxaceae,NA
Aextoxicaceae,1,NA,97.42491,NA,37.8844,NA,NA,10.08355,76.874,Berberidopsidales,Aextoxicaceae,NA
Afrothismieae,2,76.95544,136.91607,60.82903,101.9046,36.9302,85.48419,86.46569,117.89321,Dioscoreales,Afrothismieae,NA
Aizoaceae,8,84.15124,89.08469,74.14105,84.65912,59.50353,85.77552,78.59792,90.89294,Caryophyllales,Aizoaceae,NA
Akaniaceae,2,61.98932,101.53008,66.82882,82.01375,61.60026,75.96897,67.04234,97.73897,Brassicales,Akaniaceae,NA
Alismataceae,2,41.3269,103.95508,48.74901,105.45084,23.03737,70.88265,84.70214,123.5287,Alismatales,Alismataceae,NA
Alseuosmiaceae,2,36.7749,115.75921,28.63418,78.94847,8.56762,57.04704,56.41993,97.16414,Asterales,Alseuosmiaceae,NA
Alstroemeriaceae,2,73.57088,95.37939,41.81667,65.77388,23.27667,64.57705,38.62436,89.46361,Liliales,Alstroemeriaceae,NA
Altingiaceae,2,24.53628,132.14568,12.15082,105.13475,2.78277,27.11255,88.30593,123.25884,Saxifragales,Altingiaceae,NA
