,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Anacardiaceae,2,71.47297,86.06477,63.31029,82.17568,48.0221,80.65655,72.10866,93.40425,Sapindales,Anacardiaceae,NA
Ancistrocladaceae,2,13.48625,62.4858,18.23642,38.0167,3.2012,39.41353,16.79637,58.32872,Caryophyllales,Ancistrocladaceae,NA
Anisophylleaceae,2,90.04173,134.08609,47.54269,90.13074,25.58071,81.30757,68.18506,109.5498,Cucurbitales,Anisophylleaceae,NA
Annonaceae,7,82.39833,113.93005,74.06046,98.2661,57.5829,90.27358,82.80541,112.86012,Magnoliales,Annonaceae,NA
Aphanopetalaceae,2,11.82752,91.72687,13.10078,84.54694,2.35969,27.94397,75.57757,94.21453,Saxifragales,Aphanopetalaceae,NA
Aphloiaceae,2,16.49476,129.34539,17.72642,89.43476,3.57638,36.6904,61.89047,115.38897,Crossosomatales,Aphloiaceae,NA
Apiaceae,11,86.20269,88.44264,64.89686,69.99721,54.06611,76.07202,66.00068,77.22644,Apiales,Apiaceae,NA
Apocynaceae,8,94.0365,112.20914,67.81814,86.87713,50.32715,85.82692,70.35426,104.312,Gentianales,Apocynaceae,NA
Apodanthaceae,2,75.26395,134.08609,50.37705,90.13074,31.19595,72.46968,68.18506,109.5498,Cucurbitales,Apodanthaceae,NA
Aponogetonaceae,2,26.52733,108.50524,27.42135,122.39134,4.96377,56.11407,110.11659,133.39078,Alismatales,Aponogetonaceae,NA
Aptandraceae,2,111.57772,145.81011,81.26056,118.57609,49.22107,113.27895,99.29562,133.75215,Santalales,Aptandraceae,NA
Aquifoliaceae,2,14.95593,93.47975,12.33155,75.6113,1.94115,29.65321,61.60175,92.25188,Aquifoliales,Aquifoliaceae,NA
Araceae,15,140.55106,147.32079,137.08712,142.74807,130.35206,142.6276,138.53915,146.34478,Alismatales,Araceae,NA
Araliaceae,2,71.39676,91.6601,52.43434,73.7291,41.20058,64.67713,67.22552,81.52237,Apiales,Araliaceae,NA
Arecaceae,10,92.50714,138.25016,94.26356,123.93083,78.21145,111.95959,106.60531,137.22633,Arecales,Arecaceae,NA
Argophyllaceae,2,40.88833,112.42244,18.75377,71.81797,5.45847,34.50873,36.52664,95.02268,Asterales,Argophyllaceae,NA
Aristolochiaceae,4,145.22178,147.43549,119.4155,129.60772,98.31935,140.53859,110.58318,146.96518,Piperales,Aristolochiaceae,NA
Asparagaceae,13,91.37463,93.65724,57.4676,61.99575,43.02244,75.41329,48.16965,80.00831,Asparagales,Asparagaceae,NA
Asphodelaceae,3,85.94395,98.41705,56.03277,71.20251,41.20142,75.03551,57.56809,88.41012,Asparagales,Asphodelaceae,NA
Asteliaceae,2,72.4764,99.03002,39.60715,62.55289,23.20242,62.65598,40.28198,86.30108,Asparagales,Asteliaceae,NA
Asteraceae,22,71.93984,78.65932,57.84178,74.27144,47.46072,69.81083,72.09001,78.11746,Asterales,Asteraceae,NA
Asteropeiaceae,1,NA,73.12411,NA,62.78959,NA,NA,29.66882,94.74265,Caryophyllales,Asteropeiaceae,NA
Atherospermataceae,2,74.20988,112.36367,39.12661,79.20873,15.5637,71.01342,38.06156,110.59783,Laurales,Atherospermataceae,NA
Austrobaileyaceae,1,NA,138.65251,NA,137.9112,NA,NA,122.86262,154.20408,Austrobaileyales,Austrobaileyaceae,NA
Balanopaceae,2,30.36192,116.63379,27.84129,105.3189,5.04112,58.05534,87.31902,120.46864,Malpighiales,Balanopaceae,NA
Balanophoraceae,2,123.94403,133.47241,97.12958,100.99489,85.88669,108.93453,89.64865,111.77276,Santalales,Balanophoraceae,NA
Balsaminaceae,1,NA,70.97506,NA,54.21725,NA,NA,37.0692,73.0091,Ericales,Balsaminaceae,NA
Barbeuiaceae,1,NA,92.76224,NA,89.6009,NA,NA,81.68017,98.01474,Caryophyllales,Barbeuiaceae,NA
Barbeyaceae,1,NA,109.81878,NA,88.41202,NA,NA,73.12023,102.36006,Rosales,Barbeyaceae,NA
Basellaceae,2,42.91073,69.13737,26.33696,46.73079,10.8521,41.80402,31.55292,62.378,Caryophyllales,Basellaceae,NA
Bataceae,1,NA,43.11512,NA,30.61949,NA,NA,15.85915,52.20918,Brassicales,Bataceae,NA
Begoniaceae,2,46.679,114.02113,30.22477,66.62915,12.42794,48.66691,46.85695,86.77625,Cucurbitales,Begoniaceae,NA
Berberidaceae,3,91.7683,118.49013,66.70294,104.98284,45.03949,92.99142,87.42803,121.51519,Ranunculales,Berberidaceae,NA
Berberidopsidaceae,2,91.87794,99.62067,31.13833,38.68292,9.50242,70.57977,13.35056,79.71527,Berberidopsidales,Berberidopsidaceae,NA
Betulaceae,2,61.41181,83.6,68.19822,86.51231,56.00375,81.43487,83.6,91.71418,Fagales,Betulaceae,NA
Biebersteiniaceae,2,33.50718,96.96545,29.89465,81.06373,6.8437,57.58471,57.35008,102.26312,Sapindales,Biebersteiniaceae,NA
Bignoniaceae,2,94.68564,106.68458,46.79493,53.39551,38.40197,58.3319,42.25069,65.01649,Lamiales,Bignoniaceae,NA
Bixaceae,2,96.31369,113.71932,52.44969,74.10052,30.6431,78.28939,52.15465,93.41228,Malvales,Bixaceae,NA
Blandfordiaceae,2,26.83402,118.30092,15.22717,84.633,2.6265,32.43739,58.12514,109.65817,Asparagales,Blandfordiaceae,NA
Bonnetiaceae,2,71.77209,113.09366,54.44378,93.27917,32.27781,79.98522,82.83578,106.86398,Malpighiales,Bonnetiaceae,NA
Boraginaceae,2,40.83926,65.12993,33.01395,53.17187,14.84045,51.1438,30.07179,74.40499,Boraginales,Boraginaceae,NA
Boryaceae,2,67.42543,129.62055,46.95405,102.3874,16.83697,82.0735,78.80591,126.09192,Asparagales,Boryaceae,NA
Brassicaceae,8,35.47895,54.09805,40.85263,49.90249,31.48055,50.20378,40.58997,59.80621,Brassicales,Brassicaceae,NA
Bromeliaceae,16,44.54378,131.79335,47.16415,117.29924,41.20171,58.37901,95.63175,132.79167,Poales,Bromeliaceae,NA
Brunelliaceae,2,14.30034,95.33646,9.77618,85.97041,0.74067,23.34964,71.32422,99.2934,Oxalidales,Brunelliaceae,NA
Bruniaceae,2,108.1533,139.3579,67.60552,113.84471,27.68871,104.42776,105.05576,122.26164,Bruniales,Bruniaceae,NA
Burmanniaceae,2,71.71887,145.10324,64.2987,126.0739,28.07961,97.46112,112.32891,137.79291,Dioscoreales,Burmanniaceae,NA
Burseraceae,2,57.02981,86.06477,59.4619,82.17568,47.8001,73.84615,72.10866,93.40425,Sapindales,Burseraceae,NA
Butomaceae,1,NA,93.33365,NA,95.05884,NA,NA,71.33006,118.55609,Alismatales,Butomaceae,NA
Buxaceae,2,117.03079,153.00639,103.05742,149.34638,68.14383,147.41856,147.73589,151.01719,Buxales,Buxaceae,NA
Byblidaceae,2,53.52066,117.07289,48.99288,72.90482,41.20105,60.86855,64.42036,82.01407,Lamiales,Byblidaceae,NA
Cabombaceae,2,61.91649,106.96494,56.55207,113.49072,28.80898,82.92102,100.50481,128.01665,Nymphaeales,Cabombaceae,NA
Cactaceae,2,46.59824,62.1738,22.4587,35.47759,6.15744,37.23705,21.95072,48.512,Caryophyllales,Cactaceae,NA
Calceolariaceae,2,45.94394,113.40104,21.5825,67.82616,6.21358,44.89231,47.17225,84.56921,Lamiales,Calceolariaceae,NA
Calophyllaceae,2,96.29277,110.8349,60.90942,87.00363,36.24142,85.25993,73.79811,100.13827,Malpighiales,Calophyllaceae,NA
Calycanthaceae,3,99.22703,140.17025,107.85296,131.34517,94.70844,122.98093,120.1282,144.37973,Laurales,Calycanthaceae,NA
Calyceraceae,2,37.42245,78.65932,25.01407,74.27144,7.09312,52.37478,72.09001,78.11746,Asterales,Calyceraceae,NA
Campanulaceae,10,89.3471,125.29008,73.32189,100.35163,57.50807,88.80511,88.52965,111.09548,Asterales,Campanulaceae,NA
