"","genus","richness","family","mico"
"1","Acanthopale",9,"Acanthaceae","NM-AM"
"2","Acanthopsis",8,"Acanthaceae","NM-AM"
"3","Acanthura",1,"Acanthaceae",NA
"4","Acanthus",29,"Acanthaceae","NM-AM"
"5","Achyrocalyx",4,"Acanthaceae","NM-AM"
"6","Adhatoda",1,"Acanthaceae",NA
"7","Afrofittonia",1,"Acanthaceae","NM-AM"
"8","Ambongia",1,"Acanthaceae","NM-AM"
"9","Ancistranthus",1,"Acanthaceae","NM-AM"
"10","Ancistrostylis",1,"Acanthaceae","NM-AM"
"11","Andrographis",32,"Acanthaceae","AM"
"12","Angkalanthus",1,"Acanthaceae","NM-AM"
"13","Anisacanthus",17,"Acanthaceae","NM-AM"
"14","Anisosepalum",3,"Acanthaceae","NM-AM"
"15","Anisostachya",2,"Acanthaceae",NA
"16","Anisotes",18,"Acanthaceae","NM-AM"
"17","Anomacanthus",1,"Acanthaceae","NM-AM"
"18","Apassalus",4,"Acanthaceae",NA
"19","Aphanosperma",1,"Acanthaceae","NM-AM"
"20","Aphelandra",196,"Acanthaceae","NM-AM"
"21","Aphelandrella",1,"Acanthaceae",NA
"22","Ascotheca",1,"Acanthaceae","NM-AM"
"23","Asystasia",54,"Acanthaceae","AM"
"24","Asystasiella",4,"Acanthaceae",NA
"25","Avicennia",8,"Acanthaceae","NM-AM"
"26","Ballochia",3,"Acanthaceae","NM-AM"
"27","Barleria",253,"Acanthaceae","AM"
"28","Barleriola",4,"Acanthaceae","NM-AM"
"29","Beloperone",1,"Acanthaceae",NA
"30","Benoicanthus",2,"Acanthaceae","NM-AM"
"31","Blechum",13,"Acanthaceae","NM-AM"
"32","Blepharis",126,"Acanthaceae","AM"
"33","Borneacanthus",6,"Acanthaceae","NM-AM"
"34","Boutonia",1,"Acanthaceae","NM-AM"
"35","Brachystephanus",22,"Acanthaceae","NM-AM"
"36","Bravaisia",3,"Acanthaceae","AM"
"37","Brillantaisia",16,"Acanthaceae","NM-AM"
"38","Brunoniella",6,"Acanthaceae","NM-AM"
"39","Calacanthus",1,"Acanthaceae","NM-AM"
"40","Calycacanthus",1,"Acanthaceae","NM-AM"
"41","Camarotea",2,"Acanthaceae","NM-AM"
"42","Carlowrightia",26,"Acanthaceae","AM"
"43","Celerina",1,"Acanthaceae","NM-AM"
"44","Centrilla",1,"Acanthaceae",NA
"45","Cephalacanthus",1,"Acanthaceae","NM-AM"
"46","Chaetacanthus",3,"Acanthaceae",NA
"47","Chalarothyrsus",1,"Acanthaceae","NM-AM"
"48","Chamaeranthemum",4,"Acanthaceae","NM-AM"
"49","Chileranthemum",3,"Acanthaceae","NM-AM"
"50","Chlamydacanthus",4,"Acanthaceae","NM-AM"
"51","Chlamydocardia",3,"Acanthaceae","NM-AM"
"52","Chlamydostachya",1,"Acanthaceae",NA
"53","Chorisochora",3,"Acanthaceae","NM-AM"
"54","Chroesthes",3,"Acanthaceae","NM-AM"
"55","Clarkeasia",1,"Acanthaceae",NA
"56","Clinacanthus",2,"Acanthaceae","NM-AM"
"57","Clistax",2,"Acanthaceae","NM-AM"
"58","Codonacanthus",3,"Acanthaceae","NM-AM"
"59","Conocalyx",1,"Acanthaceae","NM-AM"
"60","Cosmianthemum",14,"Acanthaceae","NM-AM"
"61","Crabbea",14,"Acanthaceae","NM-AM"
"62","Crossandra",54,"Acanthaceae","NM-AM"
"63","Crossandrella",3,"Acanthaceae","NM-AM"
"64","Cuenotia",1,"Acanthaceae","NM-AM"
"65","Cyclacanthus",2,"Acanthaceae","NM-AM"
"66","Cynarospermum",1,"Acanthaceae","NM-AM"
"67","Cyphacanthus",1,"Acanthaceae","NM-AM"
"68","Cystacanthus",3,"Acanthaceae","AM"
"69","Danguya",1,"Acanthaceae","NM-AM"
"70","Dasytropis",1,"Acanthaceae","NM-AM"
"71","Dianthera",3,"Acanthaceae",NA
"72","Dichazothece",1,"Acanthaceae","NM-AM"
"73","Dicladanthera",2,"Acanthaceae","NM-AM"
"74","Dicliptera",223,"Acanthaceae","AM"
"75","Dipteracanthus",1,"Acanthaceae","AM"
"76","Dischistocalyx",13,"Acanthaceae","NM-AM"
"77","Dolichostachys",1,"Acanthaceae","NM-AM"
"78","Duosperma",26,"Acanthaceae","NM-AM"
"79","Dyschoriste",102,"Acanthaceae","AM"
"80","Ecbolium",21,"Acanthaceae","NM-AM"
"81","Echinacanthus",4,"Acanthaceae","NM-AM"
"82","Elytraria",21,"Acanthaceae","AM"
"83","Encephalosphaera",3,"Acanthaceae","NM-AM"
"84","Epiclastopelma",2,"Acanthaceae",NA
"85","Eranthemum",22,"Acanthaceae","NM-AM"
"86","Eremomastax",1,"Acanthaceae","NM-AM"
"87","Eusiphon",3,"Acanthaceae","NM-AM"
"88","Filetia",9,"Acanthaceae","NM-AM"
"89","Fittonia",2,"Acanthaceae","NM-AM"
"90","Forcipella",6,"Acanthaceae","NM-AM"
"91","Geissomeria",17,"Acanthaceae","NM-AM"
"92","Glossochilus",2,"Acanthaceae","NM-AM"
"93","Graphandra",1,"Acanthaceae","NM-AM"
"94","Graptophyllum",15,"Acanthaceae","NM-AM"
"95","Gymnophragma",1,"Acanthaceae","NM-AM"
"96","Gymnostachyum",50,"Acanthaceae","NM-AM"
"97","Gynocraterium",1,"Acanthaceae","NM-AM"
"98","Gypsacanthus",1,"Acanthaceae","NM-AM"
"99","Habracanthus",14,"Acanthaceae",NA
"100","Hansteinia",5,"Acanthaceae","NM-AM"
"101","Harpochilus",1,"Acanthaceae","NM-AM"
"102","Haselhoffia",1,"Acanthaceae",NA
"103","Hemiadelphis",1,"Acanthaceae",NA
"104","Hemigraphis",22,"Acanthaceae","AM"
"105","Henrya",2,"Acanthaceae","AM"
"106","Herpetacanthus",7,"Acanthaceae","NM-AM"
"107","Heteradelphia",2,"Acanthaceae","NM-AM"
"108","Himantochilus",1,"Acanthaceae",NA
"109","Holographis",16,"Acanthaceae","NM-AM"
"110","Hoverdenia",1,"Acanthaceae","NM-AM"
"111","Hygrophila",46,"Acanthaceae","NM-AM"
"112","Hymenochlaena",1,"Acanthaceae",NA
"113","Hypoestes",104,"Acanthaceae","NM-AM"
"114","Ionacanthus",1,"Acanthaceae",NA
"115","Isoglossa",48,"Acanthaceae","NM-AM"
"116","Isotheca",1,"Acanthaceae","NM-AM"
"117","Ixtlania",1,"Acanthaceae",NA
"118","Jacobinia",11,"Acanthaceae",NA
"119","Jadunia",1,"Acanthaceae","NM-AM"
"120","Justicia",652,"Acanthaceae","NM-AM"
"121","Kalbreyeriella",3,"Acanthaceae","NM-AM"
"122","Kosmosiphon",1,"Acanthaceae","NM-AM"
"123","Kudoacanthus",1,"Acanthaceae","NM-AM"
"124","Lankesteria",7,"Acanthaceae","NM-AM"
"125","Lasiocladus",7,"Acanthaceae","NM-AM"
"126","Leandriella",2,"Acanthaceae","NM-AM"
"127","Lepidagathis",71,"Acanthaceae","NM-AM"
"128","Leptostachya",1,"Acanthaceae",NA
"129","Liberatia",1,"Acanthaceae","NM-AM"
"130","Lissospermum",1,"Acanthaceae",NA
"131","Listrobanthes",1,"Acanthaceae",NA
"132","Lophostachys",5,"Acanthaceae",NA
"133","Louteridium",9,"Acanthaceae","NM-AM"
"134","Lychniothyrsus",1,"Acanthaceae",NA
"135","Mackaya",2,"Acanthaceae","NM-AM"
"136","Mananthes",2,"Acanthaceae",NA
"137","Megalochlamys",10,"Acanthaceae","NM-AM"
"138","Megalostoma",1,"Acanthaceae",NA
"139","Megaskepasma",1,"Acanthaceae","NM-AM"
"140","Melittacanthus",1,"Acanthaceae","NM-AM"
"141","Mellera",5,"Acanthaceae","NM-AM"
"142","Mendoncia",63,"Acanthaceae","NM-AM"
"143","Metarungia",3,"Acanthaceae","NM-AM"
"144","Mexacanthus",1,"Acanthaceae","NM-AM"
"145","Microstrobilus",1,"Acanthaceae",NA
"146","Mimulopsis",14,"Acanthaceae","NM-AM"
"147","Mirandea",6,"Acanthaceae","NM-AM"
"148","Monechma",33,"Acanthaceae",NA
"149","Monothecium",3,"Acanthaceae","NM-AM"
"150","Nelsonia",3,"Acanthaceae","NM-AM"
"151","Neriacanthus",3,"Acanthaceae","NM-AM"
"152","Neuracanthus",13,"Acanthaceae","NM-AM"
"153","Nilgirianthus",1,"Acanthaceae",NA
"154","Nothoruellia",1,"Acanthaceae",NA
"155","Odontonema",22,"Acanthaceae","NM-AM"
"156","Ophiorrhiziphyllon",2,"Acanthaceae","NM-AM"
"157","Oplonia",17,"Acanthaceae","NM-AM"
"158","Orophochilus",1,"Acanthaceae","NM-AM"
"159","Pachystachys",12,"Acanthaceae","NM"
"160","Pachystrobilus",1,"Acanthaceae",NA
"161","Paragutzlaffia",2,"Acanthaceae",NA
"162","Pararuellia",6,"Acanthaceae","NM-AM"
"163","Parastrobilanthes",1,"Acanthaceae",NA
"164","Pericalypta",1,"Acanthaceae","NM-AM"
"165","Periestes",1,"Acanthaceae",NA
"166","Peristrophe",20,"Acanthaceae","AM"
"167","Petalidium",34,"Acanthaceae","NM-AM"
"168","Phaulopsis",18,"Acanthaceae","AM"
"169","Phlogacanthus",3,"Acanthaceae","AM"
"170","Physacanthus",3,"Acanthaceae","NM-AM"
"171","Pleocaulus",1,"Acanthaceae",NA
"172","Podorungia",4,"Acanthaceae","NM-AM"
"173","Poikilacanthus",9,"Acanthaceae","NM-AM"
"174","Polylychnis",1,"Acanthaceae","NM-AM"
"175","Populina",2,"Acanthaceae","NM-AM"
"176","Pranceacanthus",1,"Acanthaceae","NM-AM"
"177","Psacadopaepale",1,"Acanthaceae",NA
"178","Pseuderanthemum",47,"Acanthaceae","AM"
"179","Pseudocalyx",5,"Acanthaceae","NM-AM"
"180","Pseudodicliptera",4,"Acanthaceae","NM-AM"
"181","Pseudoruellia",1,"Acanthaceae","NM-AM"
"182","Pseudostenosiphonium",1,"Acanthaceae",NA
"183","Psilanthele",1,"Acanthaceae","NM-AM"
"184","Pteracanthus",3,"Acanthaceae",NA
"185","Pteroptychia",1,"Acanthaceae",NA
"186","Ptyssiglottis",3,"Acanthaceae","NM-AM"
"187","Pulchranthus",4,"Acanthaceae","NM-AM"
"188","Pupilla",1,"Acanthaceae",NA
"189","Razisea",5,"Acanthaceae","NM-AM"
"190","Rhacodiscus",1,"Acanthaceae",NA
"191","Rhinacanthus",10,"Acanthaceae","AM"
"192","Rhytiglossa",1,"Acanthaceae",NA
"193","Ritonia",4,"Acanthaceae","NM-AM"
"194","Ruellia",269,"Acanthaceae","NM-AM"
"195","Ruelliopsis",2,"Acanthaceae","NM-AM"
"196","Rungia",23,"Acanthaceae","AM"
"197","Ruspolia",5,"Acanthaceae","NM-AM"
"198","Ruttya",6,"Acanthaceae","NM-AM"
"199","Saintpauliopsis",1,"Acanthaceae","NM-AM"
"200","Sanchezia",54,"Acanthaceae","NM-AM"
"201","Sarojusticia",1,"Acanthaceae",NA
"202","Sarotheca",1,"Acanthaceae",NA
"203","Satanocrater",2,"Acanthaceae","NM-AM"
"204","Schaueria",8,"Acanthaceae","NM-AM"
"205","Sclerochiton",18,"Acanthaceae","NM-AM"
"206","Semnothyrsus",1,"Acanthaceae",NA
"207","Sericocalyx",1,"Acanthaceae",NA
"208","Sericographis",1,"Acanthaceae",NA
"209","Siphonoglossa",11,"Acanthaceae",NA
"210","Spathacanthus",3,"Acanthaceae","NM-AM"
"211","Sphacanthus",2,"Acanthaceae","NM-AM"
"212","Staurogyne",50,"Acanthaceae","NM-AM"
"213","Staurogynopsis",1,"Acanthaceae",NA
"214","Stenandriopsis",1,"Acanthaceae","NM-AM"
"215","Stenandrium",49,"Acanthaceae","AM"
"216","Stenostephanus",40,"Acanthaceae","NM-AM"
"217","Streblacanthus",5,"Acanthaceae","NM-AM"
"218","Streptosiphon",1,"Acanthaceae","NM-AM"
"219","Strobilanthes",167,"Acanthaceae","AM"
"220","Strobilanthopsis",1,"Acanthaceae","NM-AM"
"221","Suessenguthia",7,"Acanthaceae","NM-AM"
"222","Symplectochilus",2,"Acanthaceae",NA
"223","Synnema",1,"Acanthaceae",NA
"224","Taeniandra",1,"Acanthaceae",NA
"225","Teliostachya",3,"Acanthaceae",NA
"226","Tessmanniacanthus",1,"Acanthaceae","NM-AM"
"227","Tetraglochidium",1,"Acanthaceae",NA
"228","Tetramerium",32,"Acanthaceae","NM-AM"
"229","Thelepaepale",1,"Acanthaceae",NA
"230","Thunbergia",102,"Acanthaceae","AM"
"231","Thyrsacanthus",2,"Acanthaceae",NA
"232","Trichanthera",2,"Acanthaceae","NM-AM"
"233","Trichaulax",1,"Acanthaceae","NM-AM"
"234","Trichosanchezia",1,"Acanthaceae","NM-AM"
"235","Vavara",1,"Acanthaceae","NM-AM"
"236","Vindasia",1,"Acanthaceae","NM-AM"
"237","Whitfieldia",14,"Acanthaceae","NM-AM"
"238","Xantheranthemum",1,"Acanthaceae","NM-AM"
"239","Xanthostachya",1,"Acanthaceae",NA
"240","Xenacanthus",1,"Acanthaceae",NA
"241","Yeatesia",3,"Acanthaceae","NM-AM"
"242","Zygoruellia",1,"Acanthaceae","NM-AM"
"243","Acharia",1,"Achariaceae","AM"
"244","Baileyoxylon",1,"Achariaceae","AM"
"245","Buchnerodendron",2,"Achariaceae","AM"
"246","Caloncoba",10,"Achariaceae","AM"
"247","Camptostylus",3,"Achariaceae","AM"
"248","Carpotroche",12,"Achariaceae","AM"
"249","Ceratiosicyos",1,"Achariaceae","AM"
"250","Chiangiodendron",1,"Achariaceae","AM"
"251","Chlorocarpa",1,"Achariaceae","AM"
"252","Dasylepis",6,"Achariaceae","AM"
"253","Dendrostylis",1,"Achariaceae",NA
"254","Eleutherandra",1,"Achariaceae","AM"
"255","Erythrospermum",19,"Achariaceae","AM"
"256","Grandidiera",1,"Achariaceae","AM"
"257","Guthriea",1,"Achariaceae","AM"
"258","Gynocardia",1,"Achariaceae","AM"
"259","Hydnocarpus",6,"Achariaceae","AM"
"260","Kiggelaria",1,"Achariaceae","AM"
"261","Lindackeria",9,"Achariaceae","AM"
"262","Mayna",6,"Achariaceae","AM"
"263","Mocquerysia",1,"Achariaceae","AM"
"264","Pangium",1,"Achariaceae","AM"
"265","Peterodendron",1,"Achariaceae","AM"
"266","Poggea",2,"Achariaceae","AM"
"267","Prockiopsis",3,"Achariaceae","AM"
"268","Rawsonia",2,"Achariaceae","AM"
"269","Scottellia",3,"Achariaceae","AM"
"270","Xylotheca",4,"Achariaceae","AM"
"271","Achatocarpus",10,"Achatocarpaceae","EcM-AM"
"272","Phaulothamnus",1,"Achatocarpaceae","EcM-AM"
"273","Acorus",2,"Acoraceae","NM-AM"
"274","Actinidia",75,"Actinidiaceae","AM"
"275","Clematoclethra",1,"Actinidiaceae","AM"
"276","Saurauia",100,"Actinidiaceae","AM"
"277","Adoxa",2,"Adoxaceae","NM-AM"
"278","Oreinotinus",3,"Adoxaceae",NA
"279","Sambucus",22,"Adoxaceae","AM"
"280","Sinadoxa",1,"Adoxaceae","AM"
"281","Viburnum",166,"Adoxaceae","AM"
"282","Aextoxicon",1,"Aextoxicaceae","AM"
"283","Acrodon",8,"Aizoaceae","NM-AM"
"284","Acrosanthes",6,"Aizoaceae","NM-AM"
"285","Aethephyllum",1,"Aizoaceae",NA
"286","Aizoanthemum",7,"Aizoaceae","NM-AM"
"287","Aizoon",15,"Aizoaceae","NM-AM"
"288","Aloinopsis",15,"Aizoaceae","NM-AM"
"289","Amphibolia",13,"Aizoaceae","NM-AM"
"290","Antegibbaeum",1,"Aizoaceae","NM-AM"
"291","Antimima",106,"Aizoaceae","NM-AM"
"292","Apatesia",3,"Aizoaceae","NM-AM"
"293","Arenifera",5,"Aizoaceae",NA
"294","Argyroderma",12,"Aizoaceae","NM-AM"
"295","Astridia",9,"Aizoaceae","NM-AM"
"296","Bergeranthus",10,"Aizoaceae","NM-AM"
"297","Berresfordia",1,"Aizoaceae",NA
"298","Bijlia",3,"Aizoaceae",NA
"299","Braunsia",5,"Aizoaceae","NM-AM"
"300","Brianhuntleya",1,"Aizoaceae","NM-AM"
"301","Calamophyllum",3,"Aizoaceae","NM-AM"
"302","Carpanthea",2,"Aizoaceae","NM-AM"
"303","Carpobrotus",14,"Aizoaceae","NM"
"304","Carruanthophyllum",1,"Aizoaceae","NM-AM"
"305","Carruanthus",2,"Aizoaceae","NM-AM"
"306","Caryotophora",1,"Aizoaceae","NM-AM"
"307","Cephalophyllum",37,"Aizoaceae","NM-AM"
"308","Cerochlamys",4,"Aizoaceae","NM-AM"
"309","Chasmatophyllum",8,"Aizoaceae","NM-AM"
"310","Cheiridopsis",35,"Aizoaceae","NM-AM"
"311","Circandra",1,"Aizoaceae","NM-AM"
"312","Cleretum",3,"Aizoaceae","NM-AM"
"313","Conicosia",2,"Aizoaceae","NM-AM"
"314","Conophytum",110,"Aizoaceae","NM-AM"
"315","Corpuscularia",7,"Aizoaceae","NM-AM"
"316","Cylindrophyllum",5,"Aizoaceae","NM-AM"
"317","Cypselea",2,"Aizoaceae","NM-AM"
"318","Deilanthe",3,"Aizoaceae","NM-AM"
"319","Delosperma",175,"Aizoaceae","NM-AM"
"320","Dicrocaulon",7,"Aizoaceae","NM-AM"
"321","Didymaotus",1,"Aizoaceae","NM-AM"
"322","Dinteranthus",5,"Aizoaceae","NM-AM"
"323","Diplosoma",1,"Aizoaceae","NM-AM"
"324","Disphyma",5,"Aizoaceae","NM-AM"
"325","Dorotheanthus",8,"Aizoaceae","uncertain"
"326","Dracophilus",4,"Aizoaceae","NM-AM"
"327","Drosanthemum",112,"Aizoaceae","NM-AM"
"328","Eberlanzia",32,"Aizoaceae","NM-AM"
"329","Ebracteola",4,"Aizoaceae","NM-AM"
"330","Enarganthe",1,"Aizoaceae","NM-AM"
"331","Erepsia",30,"Aizoaceae","NM-AM"
"332","Esterhuysenia",5,"Aizoaceae","NM-AM"
"333","Eurystigma",1,"Aizoaceae",NA
"334","Faucaria",6,"Aizoaceae","NM-AM"
"335","Fenestraria",1,"Aizoaceae","NM-AM"
"336","Frithia",2,"Aizoaceae","NM-AM"
"337","Galenia",28,"Aizoaceae","NM-AM"
"338","Gibbaeum",23,"Aizoaceae","NM-AM"
"339","Glottiphyllum",19,"Aizoaceae","NM-AM"
"340","Gunniopsis",13,"Aizoaceae","NM-AM"
"341","Hallianthus",1,"Aizoaceae","NM-AM"
"342","Hammeria",1,"Aizoaceae","NM-AM"
"343","Hereroa",29,"Aizoaceae","NM-AM"
"344","Herrea",24,"Aizoaceae",NA
"345","Herreanthus",1,"Aizoaceae",NA
"346","Hymenocyclus",1,"Aizoaceae",NA
"347","Hymenogyne",2,"Aizoaceae","NM-AM"
"348","Ihlenfeldtia",2,"Aizoaceae","NM-AM"
"349","Jacobsenia",2,"Aizoaceae","NM-AM"
"350","Jensenobotrya",1,"Aizoaceae","NM-AM"
"351","Jordaaniella",4,"Aizoaceae","NM-AM"
"352","Juttadinteria",12,"Aizoaceae","NM-AM"
"353","Kensitia",1,"Aizoaceae",NA
"354","Khadia",6,"Aizoaceae","NM-AM"
"355","Lampranthus",217,"Aizoaceae","NM"
"356","Lapidaria",1,"Aizoaceae","NM-AM"
"357","Leipoldtia",21,"Aizoaceae","NM-AM"
"358","Lithops",31,"Aizoaceae","NM-AM"
"359","Machairophyllum",10,"Aizoaceae","NM-AM"
"360","Macrocaulon",1,"Aizoaceae",NA
"361","Malephora",13,"Aizoaceae","NM-AM"
"362","Maughaniella",1,"Aizoaceae",NA
"363","Mesembryanthemum",76,"Aizoaceae","NM-AM"
"364","Mestoklema",2,"Aizoaceae","NM-AM"
"365","Meyerophytum",1,"Aizoaceae","NM-AM"
"366","Micropterum",1,"Aizoaceae",NA
"367","Mitrophyllum",8,"Aizoaceae","NM-AM"
"368","Monilaria",6,"Aizoaceae","NM-AM"
"369","Mossia",1,"Aizoaceae","NM-AM"
"370","Muiria",1,"Aizoaceae","NM-AM"
"371","Namaquanthus",1,"Aizoaceae","NM-AM"
"372","Namibia",2,"Aizoaceae","NM-AM"
"373","Nananthus",8,"Aizoaceae","NM-AM"
"374","Nelia",3,"Aizoaceae","NM-AM"
"375","Neohenricia",2,"Aizoaceae","NM-AM"
"376","Neorhine",1,"Aizoaceae",NA
"377","Octopoma",8,"Aizoaceae","NM-AM"
"378","Odontophorus",3,"Aizoaceae","NM-AM"
"379","Oophytum",2,"Aizoaceae","NM-AM"
"380","Ophthalmophyllum",24,"Aizoaceae",NA
"381","Opophytum",5,"Aizoaceae",NA
"382","Orthopterum",2,"Aizoaceae","NM-AM"
"383","Oscularia",2,"Aizoaceae","NM-AM"
"384","Ottosonderia",2,"Aizoaceae","NM-AM"
"385","Peersia",1,"Aizoaceae","NM-AM"
"386","Phyllobolus",1,"Aizoaceae",NA
"387","Pleiospilos",5,"Aizoaceae","NM-AM"
"388","Plinthus",4,"Aizoaceae","NM-AM"
"389","Polymita",2,"Aizoaceae","NM-AM"
"390","Prenia",4,"Aizoaceae",NA
"391","Prepodesma",1,"Aizoaceae","NM-AM"
"392","Psammophora",4,"Aizoaceae","NM-AM"
"393","Psilocaulon",65,"Aizoaceae",NA
"394","Punctillaria",1,"Aizoaceae",NA
"395","Rabiea",7,"Aizoaceae","NM-AM"
"396","Rhinephyllum",13,"Aizoaceae","NM-AM"
"397","Rhombophyllum",3,"Aizoaceae","NM-AM"
"398","Ruschia",345,"Aizoaceae","NM-AM"
"399","Ruschianthemum",1,"Aizoaceae",NA
"400","Ruschianthus",1,"Aizoaceae","NM-AM"
"401","Saphesia",1,"Aizoaceae","NM-AM"
"402","Sarcozona",2,"Aizoaceae","NM-AM"
"403","Sceletium",20,"Aizoaceae",NA
"404","Schlechteranthus",2,"Aizoaceae","NM-AM"
"405","Schwantesia",10,"Aizoaceae","NM-AM"
"406","Sesuvium",11,"Aizoaceae","NM-AM"
"407","Skiatophytum",1,"Aizoaceae","NM-AM"
"408","Smicrostigma",1,"Aizoaceae","NM-AM"
"409","Sphalmanthus",105,"Aizoaceae",NA
"410","Stayneria",1,"Aizoaceae","NM-AM"
"411","Stigmatocarpum",1,"Aizoaceae",NA
"412","Stoeberia",6,"Aizoaceae","NM-AM"
"413","Stomatium",40,"Aizoaceae","NM-AM"
"414","Synaptophyllum",1,"Aizoaceae",NA
"415","Tanquana",1,"Aizoaceae","NM-AM"
"416","Tetragonia",49,"Aizoaceae","NM-AM"
"417","Thyrasperma",1,"Aizoaceae",NA
"418","Titanopsis",6,"Aizoaceae","NM-AM"
"419","Trianthema",19,"Aizoaceae","NM-AM"
"420","Tribulocarpus",1,"Aizoaceae","NM-AM"
"421","Trichodiadema",36,"Aizoaceae","NM-AM"
"422","Vanheerdea",1,"Aizoaceae","NM-AM"
"423","Vanzijlia",1,"Aizoaceae","NM-AM"
"424","Verrucifera",1,"Aizoaceae",NA
"425","Vlokia",1,"Aizoaceae","NM-AM"
"426","Wooleya",1,"Aizoaceae","NM-AM"
"427","Zaleya",4,"Aizoaceae","AM"
"428","Zeuktophyllum",1,"Aizoaceae","NM-AM"
"429","Akania",1,"Akaniaceae","AM"
"430","Bretschneidera",1,"Akaniaceae","AM"
"431","Albidella",1,"Alismataceae","NM-AM"
"432","Alisma",11,"Alismataceae","NM-AM"
"433","Astonia",1,"Alismataceae","NM-AM"
"434","Baldellia",3,"Alismataceae","NM-AM"
"435","Burnatia",1,"Alismataceae","NM-AM"
"436","Butomopsis",1,"Alismataceae","NM-AM"
"437","Caldesia",5,"Alismataceae","NM-AM"
"438","Damasonium",6,"Alismataceae","NM-AM"
"439","Echinodorus",30,"Alismataceae","NM-AM"
"440","Helanthium",3,"Alismataceae","NM-AM"
"441","Hydrocleys",5,"Alismataceae","NM-AM"
"442","Limnocharis",2,"Alismataceae","NM-AM"
"443","Limnophyton",3,"Alismataceae","NM-AM"
"444","Luronium",1,"Alismataceae","NM-AM"
"445","Ranalisma",4,"Alismataceae","NM-AM"
"446","Sagittaria",40,"Alismataceae","NM-AM"
"447","Wiesneria",3,"Alismataceae","NM-AM"
"448","Alseuosmia",5,"Alseuosmiaceae","AM"
"449","Crispiloba",1,"Alseuosmiaceae","AM"
"450","Alstroemeria",128,"Alstroemeriaceae","AM"
"451","Bomarea",124,"Alstroemeriaceae","AM"
"452","Drymophila",2,"Alstroemeriaceae","AM"
"453","Luzuriaga",4,"Alstroemeriaceae","AM"
"454","Schickendantziella",1,"Alstroemeriaceae","AM"
"455","Altingia",11,"Altingiaceae","AM"
"456","Liquidambar",5,"Altingiaceae","AM"
"457","Semiliquidambar",3,"Altingiaceae",NA
"458","Achyranthes",12,"Amaranthaceae","NM-AM"
"459","Achyropsis",6,"Amaranthaceae","NM-AM"
"460","Acnida",1,"Amaranthaceae",NA
"461","Acroglochin",2,"Amaranthaceae","NM-AM"
"462","Aerva",20,"Amaranthaceae","NM-AM"
"463","Agathophora",1,"Amaranthaceae","NM-AM"
"464","Agriophyllum",6,"Amaranthaceae","NM-AM"
"465","Allenrolfea",3,"Amaranthaceae","NM-AM"
"466","Allmania",1,"Amaranthaceae","NM-AM"
"467","Allmaniopsis",1,"Amaranthaceae","NM-AM"
"468","Alternanthera",137,"Amaranthaceae","NM-AM"
"469","Amaranthus",105,"Amaranthaceae","NM-AM"
"470","Anabasis",28,"Amaranthaceae","NM"
"471","Anthochlamys",6,"Amaranthaceae","NM-AM"
"472","Aphanisma",1,"Amaranthaceae","NM-AM"
"473","Archiatriplex",1,"Amaranthaceae","NM-AM"
"474","Arthraerua",1,"Amaranthaceae","NM-AM"
"475","Arthrocnemum",3,"Amaranthaceae","NM"
"476","Arthrophytum",8,"Amaranthaceae","NM"
"477","Atriplex",258,"Amaranthaceae","NM-AM"
"478","Axyris",6,"Amaranthaceae","NM-AM"
"479","Baolia",1,"Amaranthaceae","NM-AM"
"480","Bassia",22,"Amaranthaceae","NM"
"481","Beta",9,"Amaranthaceae","NM-AM"
"482","Bienertia",3,"Amaranthaceae","NM-AM"
"483","Blutaparon",4,"Amaranthaceae","NM-AM"
"484","Bosea",3,"Amaranthaceae","NM-AM"
"485","Calicorema",2,"Amaranthaceae","NM-AM"
"486","Camphorosma",6,"Amaranthaceae","NM"
"487","Celosia",51,"Amaranthaceae","NM-AM"
"488","Centema",2,"Amaranthaceae","NM-AM"
"489","Centemopsis",13,"Amaranthaceae","NM-AM"
"490","Centrostachys",1,"Amaranthaceae","NM-AM"
"491","Ceratocarpus",1,"Amaranthaceae","NM-AM"
"492","Ceratoides",1,"Amaranthaceae",NA
"493","Chamissoa",2,"Amaranthaceae","NM-AM"
"494","Charpentiera",6,"Amaranthaceae","NM-AM"
"495","Chenolea",1,"Amaranthaceae","NM-AM"
"496","Chenopodium",150,"Amaranthaceae","NM-AM"
"497","Chionothrix",2,"Amaranthaceae","NM-AM"
"498","Choriptera",1,"Amaranthaceae",NA
"499","Climacoptera",43,"Amaranthaceae","NM"
"500","Corispermum",69,"Amaranthaceae","NM"
"501","Cornulaca",7,"Amaranthaceae","NM-AM"
"502","Cyathobasis",1,"Amaranthaceae","NM-AM"
"503","Cyathula",29,"Amaranthaceae","NM-AM"
"504","Cycloloma",1,"Amaranthaceae","NM-AM"
"505","Cyphocarpa",1,"Amaranthaceae","NM-AM"
"506","Dasysphaera",4,"Amaranthaceae","NM-AM"
"507","Deeringia",10,"Amaranthaceae","NM-AM"
"508","Dicraurus",1,"Amaranthaceae",NA
"509","Didymanthus",1,"Amaranthaceae","NM-AM"
"510","Digera",1,"Amaranthaceae","NM-AM"
"511","Dissocarpus",4,"Amaranthaceae","NM-AM"
"512","Dysphania",36,"Amaranthaceae","NM-AM"
"513","Einadia",6,"Amaranthaceae",NA
"514","Enchylaena",2,"Amaranthaceae","NM"
"515","Eremophea",2,"Amaranthaceae","NM-AM"
