1,cycadaceae
2,zamiaceae
3,ginkgoaceae
4,ephedraceae
5,gnetaceae
6,welwitschiaceae
7,pinaceae
8,araucariaceae
9,podocarpaceae
10,sciadopityaceae
11,cupressaceae
12,taxaceae
13,amborellaceae
14,hydatellaceae
15,cabombaceae
16,nymphaeaceae
17,austrobaileyaceae
18,trimeniaceae
19,schisandraceae
20,chloranthaceae
21,canellaceae
22,winteraceae
23,lactoridaceae
24,aristolochiaceae
25,hydnoraceae
26,piperaceae
27,saururaceae
28,myristicaceae
29,magnoliaceae
30,degeneriaceae
31,himantandraceae
32,annonaceae
33,eupomatiaceae
34,calycanthaceae
35,siparunaceae
36,gomortegaceae
37,atherospermataceae
38,monimiaceae
39,hernandiaceae
40,lauraceae
41,acoraceae
42,araceae
43,tofieldiaceae
44,alismataceae
45,hydrocharitaceae
46,butomaceae
47,scheuchzeriaceae
48,aponogetonaceae
49,juncaginaceae
50,zosteraceae
51,potamogetonaceae
52,posidoniaceae
53,ruppiaceae
54,cymodoceaceae
55,petrosaviaceae
56,nartheciaceae
57,burmanniaceae
58,dioscoreaceae
59,triuridaceae
60,velloziaceae
61,stemonaceae
62,pandanaceae
63,cyclanthaceae
64,melanthiaceae
65,petermanniaceae
66,colchicaceae
67,alstroemeriaceae
68,rhipogonaceae
69,philesiaceae
70,smilacaceae
71,liliaceae
72,corsiaceae
73,campynemataceae
74,orchidaceae
75,boryaceae
76,blandfordiaceae
77,lanariaceae
78,asteliaceae
79,hypoxidaceae
80,ixioliriaceae
81,tecophilaeaceae
82,doryanthaceae
83,iridaceae
84,xeronemataceae
85,xanthorrhoeaceae
86,amaryllidaceae
87,asparagaceae
88,arecaceae
89,dasypogonaceae
90,commelinaceae
91,hanguanaceae
92,philydraceae
93,haemodoraceae
94,pontederiaceae
95,musaceae
96,heliconiaceae
97,strelitziaceae
98,lowiaceae
99,marantaceae
100,cannaceae
101,zingiberaceae
102,costaceae
103,typhaceae
104,bromeliaceae
105,rapateaceae
106,xyridaceae
107,eriocaulaceae
108,mayacaceae
109,thurniaceae
110,cyperaceae
111,juncaceae
112,anarthriaceae
113,centrolepidaceae
114,restionaceae
115,flagellariaceae
116,poaceae
117,joinvilleaceae
118,ecdeiocoleaceae
119,ceratophyllaceae
120,eupteleaceae
121,papaveraceae
122,lardizabalaceae
123,circaeasteraceae
124,menispermaceae
125,berberidaceae
126,ranunculaceae
127,sabiaceae
128,nelumbonaceae
129,platanaceae
130,proteaceae
131,trochodendraceae
132,buxaceae
133,haptanthaceae
134,gunneraceae
135,myrothamnaceae
136,dilleniaceae
137,aextoxicaceae
138,berberidopsidaceae
139,opiliaceae
140,santalaceae
141,loranthaceae
142,misodendraceae
143,schoepfiaceae
144,olacaceae
145,balanophoraceae
146,tamaricaceae
147,frankeniaceae
148,polygonaceae
149,plumbaginaceae
150,droseraceae
151,nepenthaceae
152,drosophyllaceae
153,ancistrocladaceae
154,dioncophyllaceae
155,rhabdodendraceae
156,simmondsiaceae
157,asteropeiaceae
158,physenaceae
159,amaranthaceae
160,achatocarpaceae
161,caryophyllaceae
162,stegnospermataceae
163,limeaceae
164,lophiocarpaceae
165,barbeuiaceae
166,aizoaceae
167,gisekiaceae
168,phytolaccaceae
169,nyctaginaceae
170,sarcobataceae
171,molluginaceae
172,basellaceae
173,didiereaceae
174,montiaceae
175,halophytaceae
176,talinaceae
177,portulacaceae
178,anacampserotaceae
179,cactaceae
180,hydrostachyaceae
181,cornaceae
182,loasaceae
183,hydrangeaceae
184,curtisiaceae
185,grubbiaceae
186,balsaminaceae
187,marcgraviaceae
188,tetrameristaceae
189,lecythidaceae
190,polemoniaceae
191,fouquieriaceae
192,sapotaceae
193,ebenaceae
194,primulaceae
195,sladeniaceae
196,pentaphylacaceae
197,symplocaceae
198,styracaceae
199,diapensiaceae
200,sarraceniaceae
201,actinidiaceae
202,roridulaceae
203,clethraceae
204,cyrillaceae
205,ericaceae
206,mitrastemonaceae
207,theaceae
208,stemonuraceae
209,cardiopteridaceae
210,phyllonomaceae
211,helwingiaceae
212,aquifoliaceae
213,pentaphragmataceae
214,rousseaceae
215,campanulaceae
216,menyanthaceae
217,goodeniaceae
218,asteraceae
219,calyceraceae
220,stylidiaceae
221,alseuosmiaceae
222,argophyllaceae
223,phellinaceae
224,escallioniaceae
225,bruniaceae
226,columelliaceae
227,paracryphiaceae
228,adoxaceae
229,caprifoliaceae
230,pennantiaceae
231,torricelliaceae
232,griseliniaceae
233,pittosporaceae
234,araliaceae
235,myodocarpaceae
236,apiaceae
237,metteniusaceae
238,oncothecaceae
239,garryaceae
240,eucommiaceae
241,icacinaceae
242,vahliaceae
243,rubiaceae
244,gentianaceae
245,loganiaceae
246,gelsemiaceae
247,apocynaceae
248,boraginaceae
249,convolvulaceae
250,solanaceae
251,montiniaceae
252,hydroleaceae
253,sphenocleaceae
254,plocospermataceae
255,oleaceae
256,carlemanniaceae
257,tetrachondraceae
258,calceolariaceae
259,gesneriaceae
260,plantaginaceae
261,scrophulariaceae
262,stilbaceae
263,lamiaceae
264,phrymaceae
265,orobanchaceae
266,paulowniaceae
267,thomandersiaceae
268,verbenaceae
269,bignoniaceae
270,schlegeliaceae
271,martyniaceae
272,linderniaceae
273,byblidaceae
274,lentibulariaceae
275,pedaliaceae
276,acanthaceae
277,peridiscaceae
278,paeoniaceae
279,altingiaceae
280,hamamelidaceae
281,cercidiphyllaceae
282,daphniphyllaceae
283,iteaceae
284,grossulariaceae
285,saxifragaceae
286,crassulaceae
287,aphanopetalaceae
288,tetracarpaeaceae
289,penthoraceae
290,haloragaceae
291,vitaceae
292,geraniaceae
293,melianthaceae
294,vivianiaceae
295,combretaceae
296,onagraceae
297,lythraceae
298,myrtaceae
299,vochysiaceae
300,melastomataceae
301,crypteroniaceae
302,alzateaceae
303,penaeaceae
304,aphloiaceae
305,geissolomataceae
306,strasburgeriaceae
307,staphyleaceae
308,guametalaceae
309,stachyuraceae
310,crossosomataceae
311,picramniaceae
312,biebersteiniaceae
313,nitrariaceae
314,kirkiaceae
315,anacardiaceae
316,burseraceae
317,sapindaceae
318,meliaceae
319,rutaceae
320,simaroubaceae
321,gerrardinaceae
