genus,species,mycorrhiza.type,number.of.plants.studied,family,myc.type.mujica,new.class,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunaria,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_lunatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_robustum,AM; no others,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_simplex,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_virginianum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_virginianum,AM; no others,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_virginianum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_virginianum,AM; no others,NA,Ophioglossaceae,AM,FERN,
Botrychium,Botrychium_virginicum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_lusitanicum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_lusitanicum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_petiolatum,AM; others not addressed,3,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_reticulatum,AM; others not addressed,5,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_reticulatum,AM; others not addressed,7,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_reticulatum,AM; no others,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_thermale,AM; others not addressed,2,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Ophioglossum,Ophioglossum_vulgatum,AM; others not addressed,NA,Ophioglossaceae,AM,FERN,
Osmunda,Osmunda_claytoniana,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_claytoniana,AM; no others,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_japonica,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_japonica,AM; others not addressed,2,Osmundaceae,AM,FERN,
Osmunda,Osmunda_japonica,AM; no others,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_regalis,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_regalis,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_regalis,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_regalis,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmunda,Osmunda_regalis,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmundastrum,Osmundastrum_cinnamomeum,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmundastrum,Osmundastrum_cinnamomeum,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Osmundastrum,Osmundastrum_cinnamomeum,AM; others not addressed,NA,Osmundaceae,AM,FERN,
Todea,Todea_superba,AM; no others,6,Osmundaceae,AM,FERN,
Ceratopteris,Ceratopteris_thalictroides,non-mycorrhizal (checked for all types),NA,Parkeriaceae,NM,moss,
Ceratopteris,Ceratopteris_thalictroides,non-mycorrhizal (checked for all types),NA,Parkeriaceae,NM,FERN,
Ceratopteris,Ceratopteris_thalictroides,AM; others not addressed,NA,Parkeriaceae,AM,FERN,
Ceratopteris,Ceratopteris_thalictroides,non-mycorrhizal (checked for all types),NA,Parkeriaceae,NM,FERN,
Ceratopteris,Ceratopteris_thalictroides,non-mycorrhizal (checked for all types),NA,Parkeriaceae,NM,FERN,
Ceratopteris,Ceratopteris_thalictroides,AM; no others,NA,Parkeriaceae,AM,FERN,
Pellia,Pellia_epiphylla,AM; others not addressed,NA,Pelliaceae,AM,moss,
Plagiogyria,Plagiogyria_adnata,AM; others not addressed,NA,Plagiogyriaceae,AM,FERN,
Plagiogyria,Plagiogyria_adnata,AM; others not addressed,2,Plagiogyriaceae,AM,FERN,
Plagiogyria,Plagiogyria_adnata,AM; others not addressed,NA,Plagiogyriaceae,AM,FERN,
Anarthropteris,Anarthropteris_lanceolata,AM; no others,3,Polypodiaceae,AM,FERN,
Arthromeris,Arthromeris_mairei,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Campyloneurum,Campyloneurum_amphostenon,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_amphostenon,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_amphostenon,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_angustifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_angustifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_angustifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Campyloneurum,Campyloneurum_tenuipes,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Colysis,Colysis_diversifolia,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Colysis,Colysis_elliptica,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Colysis,Colysis_elliptica,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Colysis,Colysis_hokouensis,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Colysis,Colysis_pentaphylla,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Crypsinus,Crypsinus_hastatus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Crypsinus,Crypsinus_hastatus,AM; no others,NA,Polypodiaceae,AM,FERN,
Dicranoglossum,Dicranoglossum_polypodioides,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Drynaria,Drynaria_propinqua,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Drynaria,Drynaria_quercifolia,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Drynaria,Drynaria_quercifolia,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Drynaria,Drynaria_quercifolia,non-mycorrhizal (checked for all types),2,Polypodiaceae,NM,FERN,
Drynaria,Drynaria_quercifolia,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Drynaria,Drynaria_quercifolia,AM; no others,NA,Polypodiaceae,AM,FERN,
Lemmaphyllum,Lemmaphyllum_microphyllum,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Lemmaphyllum,Lemmaphyllum_microphyllum,AM; no others,NA,Polypodiaceae,AM,FERN,
Lepidogrammitis,Lepidogrammitis_rostrata,AM; others not addressed,3,Polypodiaceae,AM,FERN,
Lepidomicrosorium,Lepidomicrosorium_hymenodes,AM; no others,NA,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_contortus,AM; others not addressed,3,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_macrosphaerus,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_nudus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_nudus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_nudus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_scolopendrium,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_thunbergianus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Lepisorus,Lepisorus_ussuriensis,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Leptochilus,Leptochilus_decurrens,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Leptochilus,Leptochilus_decurrens,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Leptochilus,Leptochilus_decurrens,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Leptochilus,Leptochilus_decurrens,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Loxogramme,Loxogramme_ensiformis,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Loxogramme,Loxogramme_salicifolia,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Loxogramme,Loxogramme_saziran,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Microgramma,Microgramma_reptans,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Microsorium,Microsorium_membranaceum,AM; others not addressed,1,Polypodiaceae,AM,FERN,
Microsorum,Microsorum_carinatum,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Microsorum,Microsorum_henryi,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Microsorum,Microsorum_membranaceum,AM; no others,NA,Polypodiaceae,AM,FERN,
Microsorum,Microsorum_punctatum,AM; others not addressed,1,Polypodiaceae,AM,FERN,
Microsorum,Microsorum_punctatum,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Neocheiropteris,Neocheiropteris_palmatopedata,AM; others not addressed,1,Polypodiaceae,AM,FERN,
Neolepisorus,Neolepisorus_ensatus,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Neolepisorus,Neolepisorus_ovatus,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Neolepisorus,Neolepisorus_sinensis,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Niphidium,Niphidium_carinatum,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Niphidium,Niphidium_crassifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Niphidium,Niphidium_crassifolium,AM; no others,NA,Polypodiaceae,AM,FERN,
Pecluma,Pecluma_dispersa,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pecluma,Pecluma_pectinata,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Phlebodium,Phlebodium_aureum,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Phlebodium,Phlebodium_pseudoaureum,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Phymatopteris,Phymatopteris_crenatopinnata,AM; others not addressed,3,Polypodiaceae,AM,FERN,
Phymatopteris,Phymatopteris_nigrovenia,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Phymatopteris,Phymatopteris_trisecta,AM; others not addressed,3,Polypodiaceae,AM,FERN,
Pleopeltis,Pleopeltis_crassinervata,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_macrocarpa,non-mycorrhizal (checked for all types),5,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_macrocarpa,non-mycorrhizal (checked for all types),2,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_macrocarpa,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_mexicana,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_percussa,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pleopeltis,Pleopeltis_polypodioides,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Polypodiodes,Polypodiodes_amoena,AM; others not addressed,1,Polypodiaceae,AM,FERN,
Polypodiodes,Polypodiodes_amoena,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_adnascens,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_gralla,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_hastata,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_hastata,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pyrrosia,Pyrrosia_lanceolata,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_lanceolata,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_linearifolia,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pyrrosia,Pyrrosia_lingua,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_lingua,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_lingua,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pyrrosia,Pyrrosia_mollis,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_petiolosa,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pyrrosia,Pyrrosia_porosa,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Pyrrosia,Pyrrosia_porosa,AM; no others,NA,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_porosa_var._tonkinensis,AM; others not addressed,2,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_serpens,AM; no others,4,Polypodiaceae,AM,FERN,
Pyrrosia,Pyrrosia_subfurfuracea,AM; others not addressed,3,Polypodiaceae,AM,FERN,
Selliguea,Selliguea_hastata,AM; others not addressed,NA,Polypodiaceae,AM,FERN,
Selliguea,Selliguea_montana,AM; no others,NA,Polypodiaceae,AM,FERN,
Serpocaulon,Serpocaulon_fraxinifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Serpocaulon,Serpocaulon_fraxinifolium,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Serpocaulon,Serpocaulon_subandinum,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Serpocaulon,Serpocaulon_subandinum,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Synammia,Synammia_feuillei,non-mycorrhizal (checked for all types),NA,Polypodiaceae,NM,FERN,
Tricholepidium,Tricholepidium_maculosum,AM; others not addressed,1,Polypodiaceae,AM,FERN,
Psilotum,Psilotum_nudum,AM; others not addressed,NA,Psilotaceae,AM,FERN,
Psilotum,Psilotum_nudum,AM; no others,NA,Psilotaceae,AM,FERN,
Tmesipteris,Tmesipteris_tannensis,AM; no others,4,Psilotaceae,AM,FERN,
Tmesipteris,Tmesipteris_tannensis,AM; others not addressed,NA,Psilotaceae,AM,FERN,
Acrostichum,Acrostichum_aureum,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Acrostichum,Acrostichum_aureum,AM; no others,NA,Pteridaceae,AM,FERN,
Acrostichum,Acrostichum_aureum,AM; no others,NA,Pteridaceae,AM,FERN,
Acrostichum,Acrostichum_aureum,AM; no others,NA,Pteridaceae,AM,FERN,
Acrostichum,Acrostichum_sinense,AM; others not addressed,2,Pteridaceae,AM,FERN,
Acrosticum,Acrosticum_aureum,non-mycorrhizal (checked for all types),NA,Pteridaceae,NM,FERN,
Lachenalii,Lachenalii_subsubcruentifolium,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Lachenalii,Lachenalii_subsubcruentifolium,non-mycorrhizal (checked for all types),NA,Pteridaceae,NM,FERN,
Lachenalii,Lachenalii_subsubcruentifolium,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Lachenalii,Lachenalii_subsubcruentifolium,non-mycorrhizal (checked for all types),NA,Pteridaceae,NM,FERN,
Lachenalii,Lachenalii_subsubcruentifolium,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Parahemionitis,Parahemionitis_cordata,AM; no others,NA,Pteridaceae,AM,FERN,
Parahemionitis,Parahemionitis_cordata,AM; no others,NA,Pteridaceae,AM,FERN,
Pentaphylla,Pentaphylla_x_euripides,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_aurita,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_biformata,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_biformata,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_biformata,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_caucaensis,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_caucaensis,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_ciliata,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_confluens,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_funckii,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_gardneriana,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_glandulosa,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_glandulosolanosa,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_macrophylla,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_macrophylla,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_multilineata,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_noveboracensis,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_noveboracensis,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_nudata,AM; others not addressed,2,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_patens,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_pennigera,AM; no others,3,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_phegopteris,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_phegopteris,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_phegopteris,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_phegopteris,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_rudis,AM; no others,NA,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_subochthodes,AM; others not addressed,2,Pteridaceae,AM,FERN,
Thelypteris,Thelypteris_thelypterioides,AM; others not addressed,NA,Pteridaceae,AM,FERN,
Salvinia,Salvinia_adnata,AM; no others,NA,Salviniaceae,AM,FERN,
Salvinia,Salvinia_auriculata,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_biloba,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_cucullata,non-AM; others not addressed,NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_cucullata,AM; others not addressed,NA,Salviniaceae,AM,FERN,
Salvinia,Salvinia_minima,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_molesta,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_natans,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_natans,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Salvinia,Salvinia_natans,non-mycorrhizal (checked for all types),NA,Salviniaceae,NM,FERN,
Actinostachys,Actinostachys_pennula,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_conforme,AM; others not addressed,4,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_flexuosum,AM; others not addressed,14,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_flexuosum,AM; no others,3,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_flexuosum,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_flexuosum,AM; no others,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_japonicum,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_japonicum,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_japonicum,AM; others not addressed,2,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_japonicum,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Lygodium,Lygodium_microphyllum,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Mohria,Mohria_caffrorum,AM; others not addressed,5,Schizaeaceae,AM,FERN,
Mohria,Mohria_hirsuta,AM; others not addressed,2,Schizaeaceae,AM,FERN,
Schizaea,Schizaea_dichotoma,AM; no others,1,Schizaeaceae,AM,FERN,
Schizaea,Schizaea_elegans,AM; no others,NA,Schizaeaceae,AM,FERN,
Schizaea,Schizaea_fistulosa,AM; no others,2,Schizaeaceae,AM,FERN,
Schizaea,Schizaea_fistulosa,AM; no others,NA,Schizaeaceae,AM,FERN,
Schizaea,Schizaea_incurvata,AM; others not addressed,NA,Schizaeaceae,AM,FERN,
Selaginella,Selaginella_biformis,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_caffrorum,AM; others not addressed,5,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_chrysocaulos,AM; others not addressed,3,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_davidii,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_davidii,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_delicatula,AM; others not addressed,5,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_densa,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_densa,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_doederleinii,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_frondosa,AM; others not addressed,4,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_helferi,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_kraussiana,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_kraussiana,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_kraussiana,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_mairei,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_mittenii,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_moellendorffii,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_monospora,AM; others not addressed,1,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_nipponica,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_nipponica,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_pallescens,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_picta,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_pulvinata,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_pulvinata,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_pulvinata,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_remotifolia,AM; others not addressed,4,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_repanda,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_sanguinolenta,AM; others not addressed,2,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_selaginoides,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_selaginoides,AM; no others,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_selaginoides,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_selaginoides,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_tamariscina,AM; others not addressed,3,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_uncinata,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
Selaginella,Selaginella_wightii,AM; others not addressed,NA,Selaginellaceae,AM,FERN,
cola,cola_rostrata,AM; no others,NA,Sterculiaceae,AM,Malvaceae,
Stromatopteris,Stromatopteris_moniliformis,AM; no others,NA,Stromatopteridaceae,AM,FERN,
Diogoa,Diogoa_zenkeri,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosia,Strombosia_grandifolia,AM; others not addressed,NA,Strombosiaceae,AM,Olacaceae,
Strombosia,Strombosia_grandifolia,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosia,Strombosia_pustulata,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosia,Strombosia_scheffleri,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosiopsis,Strombosiopsis_tetrandra,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosiopsis,Strombosiopsis_tetrandra,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Strombosiopsis,Strombosiopsis_tetrandra,AM; no others,NA,Strombosiaceae,AM,Olacaceae,
Ampelopteris,Ampelopteris_prolifera,AM; others not addressed,2,Thelypteridaceae,AM,FERN,
Ampelopteris,Ampelopteris_prolifera,AM; others not addressed,2,Thelypteridaceae,AM,FERN,
Christella,Christella_dentata,AM; others not addressed,2,Thelypteridaceae,AM,FERN,
Christella,Christella_dentata,AM; others not addressed,NA,Thelypteridaceae,AM,FERN,
Christella,Christella_dentata,AM; others not addressed,NA,Thelypteridaceae,AM,FERN,
Christella,Christella_dentata,AM; others not addressed,NA,Thelypteridaceae,AM,FERN,
Christella,Christella_dentata,AM; no others,NA,Thelypteridaceae,AM,FERN,
Christella,Christella_parasitica,AM; others not addressed,NA,Thelypteridaceae,AM,FERN,
